bucket_start_utc,bucket_end_utc,cycle_results,minted_reported,graphiti_successes_reported,grok_writer_sessions,grok_completed_sessions,grok_model_calls,grok_input_tokens,grok_output_tokens,grok_total_tokens,grok_cached_read_tokens,grok_reasoning_tokens,cursor_fallback_sessions,stored_outputs,stored_grok_outputs,stored_cursor_outputs,stored_other_outputs
2026-08-20T13:35:00Z,2026-08-20T13:40:00Z,1,5,1,1,1,1,106096,862,106958,56576,208,1,0,0,0,0
2026-08-20T13:40:00Z,2026-08-20T13:45:00Z,0,0,0,3,3,3,154380,621,155001,5376,248,2,2,1,1,0
2026-08-20T13:45:00Z,2026-08-20T13:50:00Z,0,0,0,2,2,2,102731,666,103397,5248,167,1,3,1,2,0
2026-08-20T13:50:00Z,2026-08-20T13:55:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T13:55:00Z,2026-08-20T14:00:00Z,1,5,1,5,5,5,257051,2238,259289,19968,539,0,5,5,0,0
2026-08-20T14:00:00Z,2026-08-20T14:05:00Z,1,5,1,1,1,1,51367,119,51486,128,67,1,0,0,0,0
2026-08-20T14:05:00Z,2026-08-20T14:10:00Z,0,0,0,3,3,3,154096,1399,155495,28672,469,1,3,1,2,0
2026-08-20T14:10:00Z,2026-08-20T14:15:00Z,0,0,0,1,1,1,51628,792,52420,128,512,0,2,2,0,0
2026-08-20T14:15:00Z,2026-08-20T14:20:00Z,1,5,1,1,1,1,51398,241,51639,5248,198,0,0,0,0,0
2026-08-20T14:20:00Z,2026-08-20T14:25:00Z,0,0,0,2,2,2,102783,952,103735,28416,165,1,2,2,0,0
2026-08-20T14:25:00Z,2026-08-20T14:30:00Z,0,0,0,2,2,2,102729,631,103360,14336,110,1,1,1,0,0
2026-08-20T14:30:00Z,2026-08-20T14:35:00Z,0,0,0,2,2,2,102816,613,103429,5248,167,0,1,1,0,0
2026-08-20T14:35:00Z,2026-08-20T14:40:00Z,0,0,0,1,1,3,219105,902,220007,154880,827,1,0,0,0,0
2026-08-20T14:40:00Z,2026-08-20T14:45:00Z,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2026-08-20T14:45:00Z,2026-08-20T14:50:00Z,1,5,1,1,1,1,51397,98,51495,128,76,0,0,0,0,0
2026-08-20T14:50:00Z,2026-08-20T14:55:00Z,0,0,0,1,1,1,51364,190,51554,1280,69,0,0,0,0,0
2026-08-20T14:55:00Z,2026-08-20T15:00:00Z,0,0,0,1,1,1,104943,852,105795,51456,291,0,1,1,0,0
2026-08-20T15:00:00Z,2026-08-20T15:05:00Z,0,0,0,2,2,2,102921,452,103373,14464,164,1,1,1,0,0
2026-08-20T15:05:00Z,2026-08-20T15:10:00Z,0,0,0,3,3,3,154226,998,155224,5504,269,1,2,2,0,0
2026-08-20T15:10:00Z,2026-08-20T15:15:00Z,0,0,0,1,1,1,51507,199,51706,128,159,0,1,1,0,0
2026-08-20T15:15:00Z,2026-08-20T15:20:00Z,1,5,1,1,1,1,51395,439,51834,5248,64,0,0,0,0,0
2026-08-20T15:20:00Z,2026-08-20T15:25:00Z,0,0,0,1,1,1,51354,97,51451,128,54,0,1,1,0,0
2026-08-20T15:25:00Z,2026-08-20T15:30:00Z,0,0,0,2,2,2,211278,1570,212848,124288,403,0,1,1,0,0
2026-08-20T15:30:00Z,2026-08-20T15:35:00Z,0,0,0,1,1,1,51385,103,51488,256,70,0,0,0,0,0
2026-08-20T15:35:00Z,2026-08-20T15:40:00Z,0,0,0,2,2,2,102800,374,103174,256,166,0,2,2,0,0
2026-08-20T15:40:00Z,2026-08-20T15:45:00Z,0,0,0,1,1,2,105053,797,105850,56576,317,0,1,1,0,0
2026-08-20T15:45:00Z,2026-08-20T15:50:00Z,1,5,1,1,1,1,51353,421,51774,5248,59,0,1,1,0,0
2026-08-20T15:50:00Z,2026-08-20T15:55:00Z,0,0,0,3,3,3,154158,1257,155415,14464,208,0,3,3,0,0
2026-08-20T15:55:00Z,2026-08-20T16:00:00Z,0,0,0,1,1,1,51373,686,52059,5248,55,0,1,1,0,0
2026-08-20T16:00:00Z,2026-08-20T16:05:00Z,1,5,1,1,1,1,51412,617,52029,128,104,0,1,1,0,0
2026-08-20T16:05:00Z,2026-08-20T16:10:00Z,0,0,0,1,1,1,51352,93,51445,128,60,0,0,0,0,0
